iter	Logloss
0	0.6819311677
5	0.6299419843
10	0.5843139395
15	0.5446477564
20	0.509646895
25	0.4789158595
30	0.4518153403
35	0.4285356867
40	0.4080852334
45	0.3901163272
50	0.3743891981
55	0.360453965
60	0.3482921156
65	0.3375289026
70	0.3279640463
75	0.3194251176
80	0.3119669622
85	0.3053390253
90	0.2993939001
95	0.2940840734
100	0.2893205026
105	0.2851319261
110	0.2813469668
115	0.2779600677
120	0.2748330291
125	0.2721433931
130	0.2696444848
135	0.2674057163
140	0.2654503184
145	0.2636615297
150	0.2620650963
155	0.2605544336
160	0.2592336764
165	0.257997309
170	0.2569020021
175	0.2559029056
180	0.2549635216
185	0.254142477
190	0.2533811448
195	0.2526406922
200	0.2519547567
205	0.2513402557
210	0.2507455985
215	0.2501732019
220	0.2496842744
225	0.2491836082
230	0.2487422598
235	0.2483251941
240	0.2479402864
245	0.2475316548
250	0.2471928629
255	0.2468763481
260	0.2465612308
265	0.2462841077
270	0.2460362818
275	0.2458038443
280	0.245569697
285	0.2453502312
290	0.2451568073
295	0.2449395446
300	0.2447535025
305	0.2445637942
310	0.2444006868
315	0.2442452408
320	0.2441058736
325	0.2439592069
330	0.2438257255
335	0.2436966173
340	0.2435748745
345	0.2434505341
350	0.2433405957
355	0.2432178007
360	0.2431086843
365	0.2430180472
370	0.2429238753
375	0.2428323011
380	0.2427460372
385	0.2426544629
390	0.2425728188
395	0.2424898101
400	0.2424198059
405	0.2423565918
410	0.2422952025
415	0.2422299661
420	0.2421641379
425	0.2420968135
430	0.2420420663
435	0.2419738706
440	0.2419174957
445	0.2418629622
450	0.2418164845
455	0.2417654857
460	0.2417142239
465	0.2416732374
470	0.241626431
475	0.2415804466
480	0.241541992
485	0.2414928345
490	0.2414539031
495	0.2414113713
500	0.2413686585
505	0.241317857
510	0.2412784653
515	0.2412481323
520	0.2412145277
525	0.2411681323
530	0.241126406
535	0.2410880829
540	0.2410553496
545	0.2410169115
550	0.2409833891
555	0.2409523327
560	0.2409153249
565	0.2408814408
570	0.2408533766
575	0.2408284691
580	0.2407977416
585	0.2407644329
590	0.2407356782
595	0.2407064468
600	0.2406741903
605	0.2406472606
610	0.2406205939
615	0.2405965413
