iter	Passed	Remaining
0	75	226516
1	152	227914
2	214	213852
3	270	202546
4	324	194332
5	379	189331
6	428	183380
7	480	179612
8	535	178016
9	582	174193
10	627	170391
11	673	167598
12	719	165323
13	760	162137
14	805	160228
15	849	158345
16	896	157239
17	941	156057
18	986	154843
19	1032	153894
20	1079	153159
21	1125	152340
22	1170	151530
23	1218	151154
24	1263	150368
25	1306	149392
26	1349	148594
27	1395	148088
28	1438	147357
29	1484	146994
30	1528	146408
31	1572	145847
32	1619	145599
33	1664	145184
34	1710	144936
35	1754	144434
36	1803	144417
37	1849	144157
38	1894	143806
39	1936	143301
40	1982	143092
41	2028	142890
42	2070	142370
43	2123	142682
44	2181	143242
45	2236	143615
46	2290	143938
47	2341	143995
48	2401	144657
49	2446	144323
50	2490	144031
51	2539	143960
52	2582	143570
53	2625	143253
54	2668	142894
55	2713	142630
56	2763	142671
57	2810	142534
58	2856	142364
59	2906	142429
60	2955	142418
61	3009	142599
62	3062	142762
63	3112	142804
64	3166	142995
65	3217	143018
66	3271	143216
67	3318	143094
68	3362	142819
69	3409	142720
70	3457	142646
71	3504	142523
72	3549	142300
73	3594	142111
74	3638	141908
75	3683	141699
76	3725	141409
77	3770	141252
78	3813	140995
79	3857	140812
80	3904	140719
81	3975	141467
82	4056	142553
83	4107	142574
84	4172	143092
85	4226	143224
86	4274	143126
87	4324	143101
88	4370	142954
89	4418	142858
90	4470	142924
91	4515	142717
92	4560	142544
93	4608	142471
94	4656	142378
95	4700	142195
96	4748	142115
97	4792	141912
98	4835	141705
99	4886	141701
100	4942	141862
101	5007	142276
102	5054	142176
103	5102	142094
104	5156	142176
105	5204	142096
106	5251	141976
107	5303	142002
108	5350	141919
109	5423	142478
110	5485	142777
111	5532	142659
112	5582	142626
113	5626	142434
114	5668	142216
115	5714	142070
116	5768	142147
117	5828	142349
118	5888	142563
119	5939	142550
120	5996	142665
121	6044	142594
122	6088	142419
123	6136	142327
124	6181	142172
125	6225	142009
126	6272	141885
127	6318	141776
128	6369	141764
129	6423	141806
130	6468	141659
131	6517	141609
132	6561	141438
133	6607	141326
134	6655	141245
135	6716	141432
136	6783	141759
137	6844	141948
138	6895	141925
139	6953	142053
140	7025	142446
141	7078	142473
142	7126	142385
143	7173	142282
144	7219	142149
145	7267	142066
146	7312	141927
147	7359	141811
148	7405	141703
149	7451	141584
150	7498	141475
151	7553	141527
152	7608	141586
153	7673	141811
154	7730	141895
155	7788	141991
156	7838	141938
157	7894	142008
158	7940	141878
159	7988	141797
160	8039	141770
161	8086	141664
162	8133	141562
163	8182	141498
164	8246	141686
165	8294	141612
166	8344	141557
167	8412	141802
168	8460	141733
169	8517	141790
170	8575	141868
171	8635	141975
172	8687	141963
173	8733	141836
174	8787	141862
175	8830	141691
176	8874	141535
177	8929	141561
178	8983	141584
179	9030	141484
180	9076	141358
181	9118	141191
182	9164	141077
183	9214	141025
184	9261	140930
185	9308	140826
186	9354	140722
187	9421	140918
188	9484	141069
189	9546	141185
190	9596	141136
191	9650	141139
192	9696	141020
193	9745	140952
194	9791	140848
195	9838	140753
196	9882	140605
197	9933	140570
198	9977	140440
199	10027	140386
200	10075	140302
201	10118	140153
202	10174	140190
203	10228	140195
204	10286	140249
205	10349	140377
206	10413	140502
207	10464	140472
208	10513	140391
209	10562	140336
210	10607	140213
211	10657	140153
212	10704	140061
213	10753	139992
214	10802	139931
215	10851	139859
216	10898	139773
217	10942	139638
218	10995	139622
219	11044	139568
220	11088	139433
221	11132	139309
222	11185	139296
223	11258	139525
224	11327	139710
225	11395	139875
226	11448	139857
227	11496	139772
228	11588	140227
229	11651	140321
230	11700	140254
231	11744	140121
232	11791	140024
233	11843	139999
234	11897	139987
235	11947	139922
236	11993	139823
237	12039	139717
238	12094	139724
239	12152	139748
240	12215	139844
241	12267	139811
242	12322	139803
243	12367	139691
244	12419	139660
245	12481	139730
246	12528	139635
247	12576	139557
248	12625	139485
249	12676	139440
250	12725	139367
251	12771	139267
252	12819	139194
253	12869	139135
254	12919	139079
255	12964	138968
256	13030	139074
257	13090	139125
258	13156	139238
259	13214	139264
260	13273	139295
261	13325	139253
262	13369	139136
263	13419	139073
264	13464	138960
265	13509	138851
266	13553	138735
267	13598	138626
268	13643	138518
269	13691	138438
270	13744	138409
271	13797	138381
272	13851	138366
273	13901	138307
274	13975	138487
275	14043	138604
276	14100	138611
277	14152	138576
278	14214	138625
279	14268	138605
280	14336	138718
281	14382	138618
282	14426	138506
283	14477	138450
284	14536	138476
285	14586	138417
286	14652	138508
287	14703	138462
288	14749	138358
289	14793	138243
290	14843	138181
291	14900	138184
292	14969	138305
293	15041	138442
294	15103	138491
295	15163	138517
296	15225	138566
297	15273	138489
298	15320	138393
299	15384	138459
300	15435	138410
301	15483	138329
302	15524	138186
303	15568	138070
304	15618	138008
305	15671	137968
306	15726	137951
307	15779	137920
308	15848	138023
309	15907	138034
310	15961	138010
311	16013	137958
312	16060	137870
313	16107	137782
314	16158	137730
315	16201	137611
316	16245	137496
317	16287	137367
318	16336	137302
319	16386	137239
320	16438	137190
321	16485	137109
322	16532	137019
323	16578	136928
324	16622	136818
325	16674	136771
326	16742	136856
327	16799	136856
328	16848	136787
329	16895	136703
330	16960	136763
331	17005	136658
332	17052	136575
333	17098	136478
334	17147	136414
335	17194	136329
336	17239	136227
337	17284	136131
338	17328	136018
339	17376	135943
340	17422	135852
341	17473	135799
342	17517	135698
343	17562	135596
344	17605	135486
345	17665	135502
346	17725	135521
347	17787	135551
348	17834	135470
349	17893	135480
350	17940	135393
351	17988	135321
352	18037	135252
353	18104	135321
354	18152	135251
355	18195	135137
356	18246	135085
357	18293	135003
358	18337	134903
359	18384	134819
360	18429	134725
361	18473	134618
362	18524	134569
363	18579	134545
364	18631	134504
365	18684	134463
366	18732	134394
367	18800	134461
368	18849	134398
369	18896	134315
370	18948	134275
371	18995	134191
372	19043	134122
373	19100	134111
374	19157	134103
375	19202	134008
376	19251	133941
377	19300	133877
378	19349	133815
379	19397	133737
380	19449	133696
381	19515	133744
382	19574	133753
383	19627	133709
384	19688	133726
385	19733	133632
386	19780	133554
387	19829	133492
388	19876	133412
389	19920	133315
390	19966	133228
391	20015	133167
392	20080	133206
393	20125	133116
394	20169	133016
395	20211	132908
396	20254	132803
397	20296	132694
398	20357	132705
399	20419	132725
400	20480	132743
401	20533	132700
402	20593	132710
403	20646	132667
404	20697	132619
405	20746	132550
406	20791	132460
407	20837	132378
408	20882	132291
409	20934	132245
410	20979	132155
411	21025	132072
412	21078	132034
413	21124	131954
414	21172	131879
415	21218	131800
416	21274	131778
417	21334	131782
418	21387	131746
419	21438	131691
420	21506	131746
421	21568	131760
422	21616	131693
423	21664	131624
424	21709	131533
425	21753	131437
426	21798	131353
427	21842	131260
428	21892	131204
429	21935	131103
430	21984	131042
431	22029	130953
432	22073	130859
433	22117	130768
434	22161	130676
435	22210	130615
436	22254	130522
437	22315	130531
438	22375	130532
439	22440	130563
440	22488	130494
441	22544	130473
442	22589	130384
443	22633	130294
444	22686	130258
445	22734	130189
446	22801	130231
447	22849	130161
448	22910	130163
449	22957	130094
450	23002	130007
451	23049	129933
452	23094	129846
453	23135	129740
454	23179	129653
455	23238	129644
456	23290	129603
457	23348	129589
458	23393	129502
459	23445	129459
460	23493	129395
461	23543	129338
462	23593	129282
463	23639	129202
464	23683	129114
465	23731	129047
466	23776	128962
467	23820	128873
468	23866	128799
469	23914	128733
470	23956	128634
471	24001	128550
472	24046	128470
473	24092	128391
474	24144	128348
475	24211	128379
476	24277	128411
477	24333	128389
478	24388	128355
479	24436	128291
480	24481	128209
481	24529	128146
482	24573	128056
483	24619	127978
484	24688	128024
485	24750	128031
486	24798	127962
487	24840	127869
488	24886	127791
489	24932	127715
490	24979	127646
491	25026	127573
492	25086	127569
493	25150	127583
494	25219	127625
495	25267	127559
